Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","08/01/2024 15:43 UTC"
"Last updated:","24 October 2023"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=xLf8Fc
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:
Origin:
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 18 - 59","Female 60","Female other","Female total","Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 18 - 59","Male 60","Male other","Male total",Total
2001,-,-,-,-,424285,640451,549075,1691446,267384,636904,4209545,430390,681206,583916,1930897,238364,652156,4516929,19195696
2021,-,-,-,-,3050099,4352780,3287301,12347055,1273864,4764741,29075840,3142227,4607223,3423868,12627037,1277883,4501414,29579652,95692653
2002,-,-,-,-,361602,484579,415554,1281601,179213,795439,3517988,366049,502906,431196,1238913,156436,773055,3468555,17286607
2003,-,-,-,-,404459,521007,520464,1441474,204751,603324,3695479,418867,544895,549675,1557909,186389,573057,3830792,15674859
2004,-,-,-,-,368936,490992,531160,1369977,177468,1680650,4619183,375741,510988,558921,1426475,160333,1731622,4764080,16480585
2005,-,-,-,-,259088,360384,415049,1196087,146059,2264516,4641183,270577,378686,440705,1324331,133391,2187908,4735598,17039562
2006,-,-,-,-,347594,602371,383403,1630004,185461,2686169,5835002,360469,623178,503838,1741733,165179,2783385,6177782,24456809
2007,-,-,-,-,487217,881241,711865,2634518,278816,3051144,8044801,496258,923636,772122,2911696,264595,3208784,8577091,25938972
2008,-,-,-,-,550449,1042541,804550,2941418,305444,2738952,8383354,563920,1088977,874503,3124732,293898,2803802,8749832,25921933
2009,-,-,-,-,666675,1027557,810037,2870627,316583,3459727,9151206,675645,1048422,862424,3155378,304784,3590591,9637244,27423491
2010,-,-,-,-,797286,1195276,878355,3007922,329711,3161125,9369675,809956,1242005,945114,3291674,294773,3280579,9864101,27338186
2011,-,-,-,-,875125,1290092,947522,3219072,350742,3566294,10248847,892110,1342950,1022020,3364064,344929,3534507,10500580,28184850
2012,-,-,-,-,822891,1365782,993881,2879177,293239,3425300,9780270,856806,1354371,1048639,3199370,296919,3423315,10179420,30438482
2013,-,-,-,-,1170176,1576333,1019148,3220740,281669,4067686,11335752,1197629,1583456,1043927,3154993,265835,4016971,11262811,37622795
2014,-,-,-,-,1176014,1703245,1135102,3501705,314982,6112483,13943531,1211814,1781789,1250689,3504933,300225,5842587,13892037,49506358
2015,-,-,-,-,1376265,2089177,1380759,4283616,377552,1344992,10852361,1391282,2153413,1493693,4391379,366363,1725811,11521941,57698596
2016,-,-,-,-,1568957,2236259,1424531,4350520,428530,5119642,15128439,1692398,2345730,1618801,4550234,402016,5355947,15965126,57344018
2017,-,-,-,-,2001220,2868415,1806824,5336769,616143,7132780,19762151,2037958,2743141,2042303,5500239,540304,6380513,19244458,63744714
2018,-,-,-,-,2583784,3259503,2115926,6710526,644828,8048496,23363063,2631590,3215533,2257012,7054615,585225,7569596,23313571,69062053
2019,-,-,-,-,2993807,3855231,2568824,7974757,638110,9159346,27190075,2989851,4000343,2689428,7952161,616460,8524738,26772981,80722236
2020,-,-,-,-,3112499,3964054,3015998,10824374,981218,7508619,29406762,3060287,4052004,3051616,10870594,936365,6737472,28708338,88548285
2022,-,-,-,-,3415229,4933167,3826975,15791348,2241921,10985105,41193745,3513926,5091867,3933661,14566020,1917965,10087224,39110663,130488262
